feature,coefficient,abs_coefficient,intercept
lunit-vits8,1.358986,1.358986,0.089445
hoptimus1,0.780971,0.780971,0.089445
kaiko-vits8,-0.656185,0.656185,0.089445
midnight12k,0.650953,0.650953,0.089445
hibou_l,0.584322,0.584322,0.089445
conch_v15,-0.567611,0.567611,0.089445
kaiko-vitb8,-0.560997,0.560997,0.089445
kaiko-vits16,-0.560522,0.560522,0.089445
virchow,0.521735,0.521735,0.089445
kaiko-vitb16,0.467661,0.467661,0.089445
virchow2,0.382886,0.382886,0.089445
kaiko-vitl14,0.322298,0.322298,0.089445
musk,0.297488,0.297488,0.089445
phikon,0.260875,0.260875,0.089445
uni_v1,0.260144,0.260144,0.089445
phikon_v2,-0.222212,0.222212,0.089445
resnet50,-0.175865,0.175865,0.089445
uni_v2,-0.141810,0.141810,0.089445
gigapath,-0.119601,0.119601,0.089445
conch_v1,-0.075635,0.075635,0.089445
hoptimus0,0.026062,0.026062,0.089445
