feature,coefficient,abs_coefficient,intercept
virchow,0.577148,0.577148,0.203837
hoptimus1,0.509769,0.509769,0.203837
hibou_l,0.455735,0.455735,0.203837
lunit-vits8,0.317227,0.317227,0.203837
midnight12k,0.290916,0.290916,0.203837
hoptimus0,0.055655,0.055655,0.203837
kaiko-vitl14,0.054797,0.054797,0.203837
kaiko-vits8,0.049250,0.049250,0.203837
musk,0.008076,0.008076,0.203837
phikon,0.000000,0.000000,0.203837
uni_v2,0.000000,0.000000,0.203837
uni_v1,0.000000,0.000000,0.203837
resnet50,0.000000,0.000000,0.203837
phikon_v2,0.000000,0.000000,0.203837
conch_v1,0.000000,0.000000,0.203837
conch_v15,0.000000,0.000000,0.203837
kaiko-vits16,0.000000,0.000000,0.203837
kaiko-vitb8,0.000000,0.000000,0.203837
kaiko-vitb16,0.000000,0.000000,0.203837
gigapath,0.000000,0.000000,0.203837
virchow2,0.000000,0.000000,0.203837
