auc,auprc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,tn,fp,fn,tp,repeat
0.906642,0.921561,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,1
0.895363,0.917110,0.825000,0.824561,0.833333,0.833333,0.833333,0.815789,0.500000,31,7,7,35,2
0.904762,0.928762,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,3
0.898496,0.928514,0.787500,0.785088,0.804598,0.777778,0.833333,0.736842,0.500000,28,10,7,35,4
0.899749,0.923834,0.812500,0.813910,0.814815,0.846154,0.785714,0.842105,0.500000,32,6,9,33,5
0.893484,0.919583,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,6
0.899749,0.923787,0.812500,0.811404,0.823529,0.813953,0.833333,0.789474,0.500000,30,8,7,35,7
0.897243,0.924015,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8
0.899749,0.927975,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,9
0.888471,0.917759,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,10
0.910401,0.936199,0.825000,0.823308,0.837209,0.818182,0.857143,0.789474,0.500000,30,8,6,36,11
0.889724,0.925261,0.812500,0.811404,0.823529,0.813953,0.833333,0.789474,0.500000,30,8,7,35,12
0.899123,0.924525,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,13
0.904135,0.928010,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14
0.912907,0.935537,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,15
0.902882,0.926998,0.812500,0.811404,0.823529,0.813953,0.833333,0.789474,0.500000,30,8,7,35,16
0.895363,0.920999,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,17
0.918546,0.938976,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,18
0.909148,0.934985,0.800000,0.798246,0.813953,0.795455,0.833333,0.763158,0.500000,29,9,7,35,19
0.914787,0.935237,0.850000,0.849624,0.857143,0.857143,0.857143,0.842105,0.500000,32,6,6,36,20
