feature,coefficient,abs_coefficient,intercept
lunit-vits8,1.226191,1.226191,0.081019
hoptimus1,0.686740,0.686740,0.081019
hibou_l,0.565973,0.565973,0.081019
midnight12k,0.544705,0.544705,0.081019
kaiko-vits8,-0.495158,0.495158,0.081019
kaiko-vits16,-0.492870,0.492870,0.081019
virchow,0.478191,0.478191,0.081019
conch_v15,-0.468820,0.468820,0.081019
kaiko-vitb8,-0.405775,0.405775,0.081019
kaiko-vitb16,0.342661,0.342661,0.081019
virchow2,0.267165,0.267165,0.081019
kaiko-vitl14,0.227575,0.227575,0.081019
phikon,0.139660,0.139660,0.081019
musk,0.070892,0.070892,0.081019
uni_v1,0.068443,0.068443,0.081019
phikon_v2,-0.000213,0.000213,0.081019
hoptimus0,0.000000,0.000000,0.081019
resnet50,0.000000,0.000000,0.081019
uni_v2,0.000000,0.000000,0.081019
gigapath,0.000000,0.000000,0.081019
conch_v1,0.000000,0.000000,0.081019
