feature,coefficient,abs_coefficient,intercept
kaiko-vits8,0.054083,0.054083,0.011811
midnight12k,0.052030,0.052030,0.011811
virchow,0.051070,0.051070,0.011811
hibou_l,0.047784,0.047784,0.011811
musk,0.045921,0.045921,0.011811
hoptimus1,0.045847,0.045847,0.011811
lunit-vits8,0.045380,0.045380,0.011811
conch_v1,0.041060,0.041060,0.011811
kaiko-vitl14,0.038961,0.038961,0.011811
hoptimus0,0.038400,0.038400,0.011811
kaiko-vitb16,0.037020,0.037020,0.011811
gigapath,0.036958,0.036958,0.011811
uni_v1,0.034415,0.034415,0.011811
kaiko-vits16,0.032171,0.032171,0.011811
conch_v15,0.031390,0.031390,0.011811
phikon_v2,0.030398,0.030398,0.011811
virchow2,0.029553,0.029553,0.011811
uni_v2,0.028802,0.028802,0.011811
phikon,0.024018,0.024018,0.011811
resnet50,0.022630,0.022630,0.011811
kaiko-vitb8,0.020851,0.020851,0.011811
