auc,auprc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,tn,fp,fn,tp,repeat
0.888471,0.922939,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,1
0.899749,0.931005,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,2
0.892857,0.924320,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3
0.892231,0.927257,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,4
0.898496,0.929321,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,5
0.889724,0.925023,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,6
0.894737,0.926188,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,7
0.896617,0.929949,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,8
0.890351,0.924626,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,9
0.885965,0.923948,0.825000,0.824561,0.833333,0.833333,0.833333,0.815789,0.500000,31,7,7,35,10
0.893484,0.925871,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,11
0.895990,0.929484,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,12
0.896617,0.928242,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,13
0.897870,0.927311,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,14
0.898496,0.928867,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,15
0.896617,0.927029,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,16
0.900376,0.930680,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,17
0.902882,0.932264,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,18
0.898496,0.930930,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,19
0.900376,0.930583,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,20
