k,auc,auprc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,tn,fp,fn,tp,repeat,selected_models
1,0.885965,0.912180,0.787500,0.787594,0.795181,0.804878,0.785714,0.789474,0.500000,30,8,9,33,1,hoptimus1
1,0.894110,0.922796,0.787500,0.787594,0.795181,0.804878,0.785714,0.789474,0.500000,30,8,9,33,2,hoptimus1
1,0.889724,0.914694,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3,hoptimus1
1,0.894737,0.923561,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,4,hoptimus1
1,0.892231,0.919648,0.787500,0.786341,0.800000,0.790698,0.809524,0.763158,0.500000,29,9,8,34,5,hoptimus1
1,0.901629,0.926793,0.812500,0.811404,0.823529,0.813953,0.833333,0.789474,0.500000,30,8,7,35,6,hoptimus1
1,0.902256,0.927147,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,7,hoptimus1
1,0.896617,0.924651,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8,hoptimus1
1,0.894737,0.921484,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,9,hoptimus1
1,0.888471,0.919970,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,10,hoptimus1
1,0.894110,0.922907,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,11,hoptimus1
1,0.893484,0.921543,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,12,hoptimus1
1,0.896617,0.923757,0.812500,0.811404,0.823529,0.813953,0.833333,0.789474,0.500000,30,8,7,35,13,hoptimus1
1,0.896617,0.923890,0.787500,0.787594,0.795181,0.804878,0.785714,0.789474,0.500000,30,8,9,33,14,hoptimus1
1,0.897243,0.923806,0.800000,0.799499,0.809524,0.809524,0.809524,0.789474,0.500000,30,8,8,34,15,hoptimus1
1,0.895990,0.923242,0.787500,0.787594,0.795181,0.804878,0.785714,0.789474,0.500000,30,8,9,33,16,hoptimus1
1,0.893484,0.921178,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,17,hoptimus1
1,0.896617,0.923257,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,18,hoptimus1
1,0.894110,0.922262,0.787500,0.787594,0.795181,0.804878,0.785714,0.789474,0.500000,30,8,9,33,19,hoptimus1
1,0.895363,0.923559,0.787500,0.787594,0.795181,0.804878,0.785714,0.789474,0.500000,30,8,9,33,20,hoptimus1
2,0.912281,0.929245,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,1,hoptimus1;virchow
2,0.912281,0.931397,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,2,hoptimus1;virchow
2,0.916667,0.933334,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,3,hoptimus1;virchow
2,0.919173,0.936773,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,4,hoptimus1;virchow
2,0.917293,0.933590,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,5,hoptimus1;virchow
2,0.918546,0.936228,0.825000,0.824561,0.833333,0.833333,0.833333,0.815789,0.500000,31,7,7,35,6,hoptimus1;virchow
2,0.911028,0.927709,0.812500,0.811404,0.823529,0.813953,0.833333,0.789474,0.500000,30,8,7,35,7,hoptimus1;virchow
