model_name,count,mean,std,min,median,max
hoptimus0,3,0.052556133518616356,0.0009230116451436166,0.05202115699648857,0.052025310695171356,0.05362193286418915
gigapath,3,0.05219546457131704,0.0008500464124058664,0.051326122134923935,0.05223546922206879,0.05302480235695839
uni_v2,3,0.05214138080676397,0.0012561739540518726,0.050934359431266785,0.05204825848340988,0.053441524505615234
midnight12k,3,0.052138215551773705,0.0016958372849726646,0.05076034739613533,0.0516221709549427,0.05403212830424309
virchow,3,0.05168439323703448,0.0004435882734781387,0.05118228867650032,0.05184775963425636,0.052023131400346756
hoptimus1,3,0.05146435648202896,0.001119186901257506,0.05049579218029976,0.05120769888162613,0.052689578384160995
conch_v15,3,0.05119385321935018,5.158902593405663e-05,0.05116245150566101,0.05116571485996246,0.05125339329242706
conch_v1,3,0.05118875081340472,0.0004380535832925394,0.05076191574335098,0.051167115569114685,0.05163722112774849
uni_v1,3,0.05118746558825175,0.0009468005412239763,0.05045990273356438,0.050844550132751465,0.05225794389843941
phikon_v2,3,0.05099568764368693,0.0013378295314546494,0.05010612681508064,0.05034671351313591,0.05253422260284424
kaiko-vitl14,3,0.050514329224824905,0.00017342102824778705,0.050314150750637054,0.050609804689884186,0.050619032233953476
phikon,3,0.0504479855298996,0.0016154675847217129,0.04881744459271431,0.05047856643795967,0.05204794555902481
musk,3,0.05035103981693586,0.0007069414319361937,0.04956897720694542,0.05053946375846863,0.050944678485393524
hibou_l,3,0.05028369898597399,0.000675700529276228,0.04952622950077057,0.05050041154026985,0.05082445591688156
kaiko-vitb16,3,0.049392263094584145,0.0017712296831167067,0.04736237972974777,0.05019056051969528,0.05062384903430939
kaiko-vitb8,3,0.0493890717625618,0.00033025620831665225,0.049141719937324524,0.049261387437582016,0.049764107912778854
lunit-vits8,3,0.04769525801142057,0.0012309706736834466,0.04638040438294411,0.04788507521152496,0.04882029443979263
virchow2,3,0.04631768042842547,0.0010975091379047436,0.04566848650574684,0.04569970816373825,0.04758484661579132
kaiko-vits8,3,0.046201167007287346,0.0006613814294037828,0.04561220854520798,0.04607461020350456,0.04691668227314949
kaiko-vits16,3,0.042661779870589576,0.000270280413525579,0.04243594780564308,0.04258814454078674,0.0429612472653389
